"species","sp","wood_density","wood_density_sd"
"Dryobalanops lanceolata","Dry",0.54,0.016
"Parashorea malaanonan","Pmal",0.52,0.041
"Parashorea tomentella","Ptom",0.52,0.061
"Shorea acuminatissima","Sacu",0.57,0.042
"Shorea beccariana","Sbec",0.43,0.036
"Shorea falciferoides","Sfal",0.6,0.052
"Shorea gibbosa","Sgib",0.59,0.062
"Shorea leprosula","Slep",0.37,0.046
"Shorea macroptera","Smac",0.41,0.028
"Shorea mecistopteryx","Smec",0.51,0.054
"Shorea parvifolia","Spar",0.38,0.072
"Shorea pauciflora","Spau",0.4,0.052
"Shorea seminis","Ssem",0.58,0.026
"Shorea smithiana","Ssmi",0.38,0.041
"Shorea waltonii","Swal",0.46,0.032
"Shorea xanthophylla","Sxan",0.49,0.016
