"species","sp","wood_density","time"
"Dryobalanops lanceolata","Dry",0.49,"initial"
"Parashorea malaanonan","Pmal",0.49,"initial"
"Parashorea tomentella","Ptom",0.52,"initial"
"Shorea beccariana","Sbec",0.42,"initial"
"Shorea johorensis","Sjoh",0.39,"initial"
"Shorea leprosula","Slep",0.4,"initial"
"Shorea parvifolia","Spar",0.39,"initial"
"Shorea seminis","Ssem",0.5,"initial"
"Shorea smithiana","Ssmi",0.37,"initial"
"Shorea xanthophylla","Sxan",0.57,"initial"
"Parashorea malaanonan","Pmal",0.490407674,"final"
"Shorea leprosula","Slep",0.339298328,"final"
"Shorea parvifolia","Spar",0.410627178,"final"
"Shorea seminis","Ssem",0.522239729,"final"
"Shorea beccariana","Sbec",0.375330064,"final"
"Shorea johorensis","Sjoh",0.397827363,"final"
"Shorea parvifolia","Spar",0.387030995,"final"
"Shorea johorensis","Sjoh",0.348696869,"final"
"Shorea leprosula","Slep",0.358832175,"final"
"Dryobalanops lanceolata","Dry",0.461771245,"final"
"Dryobalanops lanceolata","Dry",0.451549967,"final"
"Shorea xanthophylla","Sxan",0.48053401,"final"
"Shorea beccariana","Sbec",0.35437683,"final"
"Parashorea tomentella","Ptom",0.691891892,"final"
"Shorea xanthophylla","Sxan",0.53628447,"final"
"Shorea seminis","Ssem",0.464306111,"final"
"Shorea smithiana","Ssmi",0.428798951,"final"
"Parashorea tomentella","Ptom",0.481627297,"final"
"Shorea smithiana","Ssmi",0.384774422,"final"
"Parashorea malaanonan","Pmal",0.574534603,"final"
"Parashorea malaanonan","Pmal",0.60820439,"final"
"Shorea beccariana","Sbec",0.329977557,"final"
"Shorea johorensis","Sjoh",0.400944882,"final"
"Parashorea malaanonan","Pmal",0.517709646,"final"
"Shorea smithiana","Ssmi",0.445582586,"final"
"Dryobalanops lanceolata","Dry",0.508404959,"final"
"Shorea seminis","Ssem",0.535703149,"final"
"Parashorea tomentella","Ptom",0.588405001,"final"
"Shorea smithiana","Ssmi",0.36095558,"final"
"Shorea johorensis","Sjoh",0.385379702,"final"
"Shorea seminis","Ssem",0.534338358,"final"
"Dryobalanops lanceolata","Dry",0.442072245,"final"
"Shorea xanthophylla","Sxan",0.62517245,"final"
"Shorea xanthophylla","Sxan",0.447668543,"final"
"Shorea leprosula","Slep",0.355401872,"final"
"Shorea beccariana","Sbec",0.356663552,"final"
"Shorea parvifolia","Spar",0.393635978,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea leprosula","Slep",0.290936635,"final"
"Shorea parvifolia","Spar",0.387035739,"final"
"Dryobalanops lanceolata","Dry",0.501804052,"final"
"Shorea parvifolia","Spar",0.407778007,"final"
"Shorea smithiana","Ssmi",0.431592738,"final"
"Shorea johorensis","Sjoh",0.5,"final"
"Shorea beccariana","Sbec",0.472011688,"final"
"Shorea seminis","Ssem",0.575236731,"final"
"Shorea leprosula","Slep",0.442630469,"final"
"Dryobalanops lanceolata","Dry",0.415124555,"final"
"Shorea xanthophylla","Sxan",0.546061885,"final"
"Shorea johorensis","Sjoh",0.517206911,"final"
"Shorea smithiana","Ssmi",0.414885875,"final"
"Parashorea tomentella","Ptom",0.414885875,"final"
"Shorea beccariana","Sbec",0.269466961,"final"
"Shorea parvifolia","Spar",0.390082123,"final"
"Shorea seminis","Ssem",0.553502453,"final"
"Shorea xanthophylla","Sxan",0.466497915,"final"
"Parashorea malaanonan","Pmal",0.598519991,"final"
"Parashorea malaanonan","Pmal",0.559197408,"final"
"Parashorea tomentella","Ptom",0.544928266,"final"
"Shorea leprosula","Slep",0.465213562,"final"
"Shorea johorensis","Sjoh",0.434138077,"final"
"Parashorea malaanonan","Pmal",0.472800537,"final"
"Shorea beccariana","Sbec",0.43407173,"final"
"Shorea leprosula","Slep",0.351405884,"final"
"Shorea smithiana","Ssmi",0.369185719,"final"
"Dryobalanops lanceolata","Dry",0.439898105,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea seminis","Ssem",0.49071329,"final"
"Shorea smithiana","Ssmi",0.393164601,"final"
"Shorea beccariana","Sbec",0.402112962,"final"
"Shorea parvifolia","Spar",0.328156113,"final"
"Shorea leprosula","Slep",0.326783521,"final"
